team_id,team_name,field_id,field_name,address,city,lat,lon,geocode_query,precision
2098,"הפ' נ.יהודה ראשל"" שאול מוספי",153,(סגור)ראשון לציון נחלת יהודה,קיבוץ גלויות ראשון לציון,ראשון לציון,31.9845414,34.804834,קיבוץ גלויות ראשון לציון,street
2112,הפועל פרדסייה,105,פרדסיה,התהילה 24 פרדסיה,פרדסיה,32.3084939,34.9049422,התהילה 24 פרדסיה,street
2120,הפועל עפולה,1132,עפולה סינטטי,חיים ברלב 2 עפולה,עפולה,32.6271182,35.315469,חיים ברלב 2 עפולה,street
2130,הפועל הרצליה עירוני,334,הרצליה רן 1,הרצליה,הרצליה,32.1656255,34.8469023,הרצליה,street
2137,הפועל הרצליה עירוני,334,הרצליה רן 1,הרצליה,הרצליה,32.1656255,34.8469023,הרצליה,street
2141,הפועל ד.א. כרמל,58,דלית אל כרמל,אלרוחראח  דאלית אל כרמל,דלית אל כרמל,32.6869077,35.057284,אלרוחראח  דאלית אל כרמל,street
2153,"הפועל ק""ש ""צו פיוס""",383,קרית שמונה,הירדן 11 קרית שמונה,קרית שמונה,33.2086827,35.574211,הירדן 11 קרית שמונה,street
2165,"הפ' פ""ת שלומי וורצל",1059,פתח תקוה סירקין אימונים 2 (סינטטי),הרב עובדיה יוסף 3 פתח תקווה,פתח תקווה,32.0813004,34.9065744,הרב עובדיה יוסף 3 פתח תקווה,street
2169,הפועל חיפה 1 ניר,3,קרית חיים,האיצטדיון 1 חיפה,חיפה,32.82305,35.058868,האיצטדיון  חיפה,street
2181,הפועל באר שבע,966,באר שבע וסרמיל 1,אצ''ל 6 באר שבע,באר שבע,31.2720302,34.7777836,אצ''ל 6 באר שבע,street
2204,"הפ' ת""א ""מרדכי גרינברג""",417,תל אביב וולפסון 2,הלוחמים חולון,חולון,32.0353386,34.7678567,הלוחמים חולון,street
2216,הפועל אורנית,516,אורנית,מבוא אורנית 2 אורנית,אורנית,32.1309209,34.9919607,אורנית,fallback
2227,"הפועל ת""א ישין",417,תל אביב וולפסון 2,הלוחמים חולון,חולון,32.0353386,34.7678567,הלוחמים חולון,street
2231,"הפועל ק""ש",1198,קרית שמונה סינטטי חדש,תל חי 4 קרית שמונה,קרית שמונה,33.2235285,35.5757816,תל חי 4 קרית שמונה,street
2234,"הפועל רעננה ""אביתר עטואר""",363,רעננה פארק צפוני סינטטי,מרטין דרוקר רעננה,רעננה,32.1933115,34.8463327,מרטין דרוקר רעננה,street
2253,"הפ' מרמורק רחובות חיים ""צו פיוס""",1215,רחובות מכבי רחובות וייסגל סינטטי,שמעון דובנוב 47 רחובות,רחובות,31.8872278,34.7941944,שמעון דובנוב 47 רחובות,street
2255,הפ' בקעת הירדן,327,מושב תומר,תומר,תומר,32.018692,35.4391975,תומר,fallback
2257,הפועל נוף הגליל,1318,נוף הגליל סינטטי חדש,יזרעאל 46 נוף הגליל,נוף הגליל,32.689583,35.3167752,יזרעאל 46 נוף הגליל,street
